date,risk_pct,mean_pm25,median_pm25,p90_pm25,Wildfire_count,Wildfire_acres,transport_ready_acres,raw_Wildfire_influence,wind_from_deg,wind_speed_kmh,smoke_transport_score,smoke_transport_score_5day
2021-01-01,0.0,12.097656459954646,12.18482422732841,20.7735095462535,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-02,0.0,6.0426752932642,5.35,10.75,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-03,0.0,4.821303202245917,4.7539018462178015,10.15,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-04,0.0,5.175588386777989,3.124551513495638,12.036794069772183,1.0,241.29402397,50.16166682700176,45.34754019124368,144.1887047843826,13.560416666666669,6.802131028686552,6.802131028686552
2021-01-05,0.0,3.550430822013298,2.33421096566196,7.246403765183164,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-06,0.0,4.152380223442915,2.36491810079125,10.317684473554669,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-07,0.0,6.503037060285071,3.95,15.800000000000002,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-08,0.0,7.985565532112227,7.1,13.577108502381392,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-09,0.0,8.819350871472622,8.248438222312945,15.250000000000002,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-10,0.0,7.224498182082785,6.493468225570384,14.1,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-11,7.020872865275142,10.183341215346385,5.513467970580194,30.57296685341511,1.0,1.6,0.08781729967374444,0.0498058254469077,115.36121728287873,8.507291666666667,15.879109940752324,11.340620484719437
2021-01-12,0.0,7.834109248994976,7.510786909226651,15.422504181930973,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-13,0.0,6.315370327075509,5.695897129104369,12.224867382031501,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-14,0.0,3.218344794693169,1.35,9.5,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-15,0.0,5.4320315298224084,2.7560127667045613,13.35722715576681,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-16,0.0,12.465368015894521,11.1,22.75,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-17,0.9487666034155597,14.326321379980682,12.85,25.777928222434603,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-18,0.0,9.399016011440812,8.622378507434174,17.457685244871705,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-19,0.0,6.489566414654459,5.0,12.000000000000002,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-20,8.159392789373813,12.628206148928511,5.78620419832548,42.07925741668651,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-21,3.415559772296015,11.359111682618568,7.187762794311007,26.04812146711274,5.0,268.053151796353,28.25982996286296,14.12991498143148,85.20343081739168,4.320833333333333,15.741181343494244,12.80747410431104
2021-01-22,0.18975332068311196,14.057871396827121,13.999305198821954,24.5229421244078,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-23,0.0,8.966591310172893,8.7,15.455561742186248,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-24,0.0,5.836844669927828,4.199999999999999,12.527248070975265,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-25,0.0,6.31215953126942,4.4,12.3,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-26,0.0,7.554119252517622,6.704382451986432,14.855361200369535,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-27,0.0,5.789434709682739,5.65,10.581884729141459,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-28,6.641366223908918,7.097446319008847,2.625730788403617,21.57610368351098,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-29,0.0,5.999323671739725,3.4802568229515476,14.205033272672223,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-30,0.0,4.588498296982251,3.1,9.95,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-01-31,0.0,4.6450423116867094,1.9719530651091919,11.363704119685936,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-02-01,0.0,4.4904561590332985,3.1825149218435937,11.162669702791046,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-02-02,0.0,4.720677995250638,3.414380524730907,10.75,0.0,0.0,0.0,0.0,,,0.0,0.0
2021-02-03,0.18975332068311196,2.9604864654412446,1.85,9.2,0.0,0.0,0.0,0.0,,,0.0,0.0
