sensor_key,site_id,name,city_name,source,latitude,longitude,date,pm25
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-06-06,3.3
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-06-09,4.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-06-12,3.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-06-15,6.35
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-06-18,7.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-06-21,6.15
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-06-24,8.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-06-27,7.25
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-06-30,5.6
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-07-03,16.65
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-07-06,10.8
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-07-15,28.75
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-07-18,29.8
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-07-21,29.65
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-07-24,16.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-07-27,28.450000000000003
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-07-30,15.6
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-08-02,18.75
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-08-05,11.6
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-08-08,7.85
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-08-11,16.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-08-14,80.55
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-08-17,23.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-08-20,16.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-08-23,15.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-08-26,24.15
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-08-29,6.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-09-01,7.85
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-09-04,9.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-09-07,49.4
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-09-10,37.3
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-09-13,16.15
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-09-16,7.3
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-09-19,3.0
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-09-22,7.5
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-09-25,9.85
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-09-28,3.1
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-10-01,6.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-10-04,11.7
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-10-07,3.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-10-10,5.9
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-10-13,6.15
AQS|16-001-0010,16-001-0010,Not in a City,Not in a City,AQS,43.600699,-116.347853,2021-10-16,2.5
