time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1750204800,219001,31,3.0,4.1
1755388800,219001,41,7.3,9.5
1738972800,219001,41,0.8,4992.7
1767571200,219001,61,0.9,1.6
1753920000,219001,27,3.6,4.8
1764892800,219001,52,2.9,4.6
1763596800,219001,62,0.9,1.4
1744156800,219001,34,1.1,2.1
1741651200,219001,35,0.6,1.4
1762214400,219001,50,5.9,7.9
1741737600,219001,38,1.1,2.4
1767225600,219001,52,2.2,3.3
1755043200,219001,32,5.4,6.8
1735603200,219001,46,1.2,2.2
1762819200,219001,43,0.4,0.8
1748131200,219001,33,1.6,2.6
1738886400,219001,48,0.1,3968.2
1762387200,219001,51,1.5,2.2
1748908800,219001,28,0.1,0.5
1758153600,219001,42,4.3,5.3
1768176000,219001,45,1.1,1.8
1750636800,219001,41,0.6,1.1
1740700800,219001,38,0.9,2.0
1759449600,219001,59,3.0,4.0
1766016000,219001,40,0.2,0.1
1750550400,219001,44,0.1,0.4
1759622400,219001,47,3.0,4.1
1762560000,219001,35,2.3,0.9
1764806400,219001,49,1.3,2.2
1773878400,219001,26,0.1,0.3
1751328000,219001,34,3.8,5.1
1738281600,219001,44,2.4,3.9
1764547200,219001,47,2.0,3.0
1736380800,219001,46,4.0,7.5
1765497600,219001,51,0.3,0.7
1758240000,219001,40,2.8,3.5
1737331200,219001,41,1.1,2.8
1752019200,219001,33,2.5,3.6
1773100800,219001,25,1.3,0.3
1749600000,219001,54,4.1,5.6
1762128000,219001,35,0.5,0.8
1747699200,219001,25,1.3,2.2
1743120000,219001,40,1.7,3.0
1737417600,219001,39,2.3,7.5
1760400000,219001,52,0.5,0.8
1769299200,219001,44,4.1,5.5
1757721600,219001,42,1.9,2.7
1744848000,219001,31,0.5,1.1
1749859200,219001,35,2.6,3.7
1755907200,219001,31,7.1,8.8
1745280000,219001,26,3.7,5.8
1756080000,219001,52,15.1,18.7
1763769600,219001,56,0.8,1.5
1735862400,219001,60,2.5,4.1
1763251200,219001,54,0.8,1.1
1767312000,219001,60,8.9,11.2
1769126400,219001,49,5.3,7.1
1774915200,219001,46,2.9,4.3
1764460800,219001,41,0.9,1.7
1774656000,219001,24,0.6,0.9
1754006400,219001,38,5.0,6.6
1755561600,219001,32,1.1,1.7
1761868800,219001,42,8.3,11.0
1736208000,219001,44,0.9,1.1
1761696000,219001,41,0.9,1.3
1749340800,219001,39,3.3,4.5
1769385600,219001,37,0.9,1.3
1764028800,219001,33,0.3,0.5
1743811200,219001,34,0.2,0.5
1765152000,219001,52,0.8,1.4
1770076800,219001,42,4.6,0.9
1740268800,219001,51,1.6,391.1
1759363200,219001,61,0.6,1.0
1743638400,219001,42,0.2,0.1
1754870400,219001,38,1.9,2.7
1768089600,219001,45,1.0,2.2
1765324800,219001,55,1.5,2.2
1774224000,219001,28,0.1,0.2
1771804800,219001,44,0.8,1.2
1757635200,219001,42,2.0,2.8
1743724800,219001,36,2.4,0.9
1768521600,219001,47,8.6,11.1
1772928000,219001,45,0.5,0.9
1751846400,219001,39,3.7,5.0
1763424000,219001,56,0.9,1.5
1768867200,219001,46,1.2,2.0
1750464000,219001,35,0.7,1.2
1773705600,219001,33,0.4,0.8
1766275200,219001,54,1.2,2.0
1761523200,219001,50,0.2,0.3
1759795200,219001,48,2.0,3.1
1769558400,219001,36,0.6,1.0
1772755200,219001,31,0.0,0.0
1768262400,219001,48,1.1,1.8
1765584000,219001,40,0.8,1.3
1751760000,219001,39,2.0,3.0
1765238400,219001,55,1.2,2.1
1760659200,219001,51,7.5,9.4
1753401600,219001,31,3.6,4.8
1736121600,219001,49,1.9,2.9
1769472000,219001,35,0.4,0.7
1745366400,219001,27,0.4,1.0
