time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1761091200,155091,41,0.5,0.4
1753574400,155091,31,4.2,3.8
1747958400,155091,35,1.1,1.0
1738713600,155091,52,0.8,0.8
1758844800,155091,35,2.2,2.0
1752537600,155091,30,6.2,5.6
1763337600,155091,61,1.9,1.5
1748649600,155091,33,4.6,4.5
1751760000,155091,33,3.7,3.4
1749859200,155091,32,4.7,4.4
1762732800,155091,43,0.3,0.2
1741219200,155091,43,0.8,0.8
1748390400,155091,28,2.6,2.6
1740700800,155091,38,0.9,0.7
1754524800,155091,31,4.3,3.9
1747180800,155091,48,0.1,0.1
1737936000,155091,35,1.0,0.9
1746144000,155091,34,12.8,12.6
1749772800,155091,40,7.0,6.7
1764547200,155091,44,2.2,1.7
1746576000,155091,39,0.4,0.4
1759795200,155091,46,3.7,3.4
1753920000,155091,27,6.1,5.5
1737504000,155091,37,2.2,2.2
1746835200,155091,29,2.9,2.8
1750809600,155091,31,3.8,3.5
1740268800,155091,50,2.7,2.7
1754438400,155091,25,2.0,1.8
1757894400,155091,37,3.4,3.0
1761523200,155091,48,0.3,0.2
1736208000,155091,43,0.8,0.8
1767139200,155091,51,5.1,1.1
1755734400,155091,28,4.8,4.3
1748044800,155091,36,3.2,3.1
1765929600,155091,50,1.2,1.0
1754784000,155091,31,2.4,2.1
1747699200,155091,35,2.0,1.9
1738368000,155091,57,7.9,8.0
1745193600,155091,30,3.2,3.1
1751241600,155091,30,3.7,3.5
1736467200,155091,44,1.9,1.9
1759881600,155091,43,2.0,1.8
1746748800,155091,30,3.2,3.2
1741478400,155091,41,1.8,1.5
1738972800,155091,41,0.8,0.7
1764720000,155091,42,0.9,0.4
1748995200,155091,32,1.2,1.1
1751068800,155091,30,1.3,1.2
1747785600,155091,31,4.1,3.8
1752451200,155091,30,10.0,9.2
1763942400,155091,50,1.7,1.3
1743811200,155091,36,0.4,0.4
1736121600,155091,48,2.1,2.0
1750377600,155091,29,3.3,3.1
1744934400,155091,28,1.1,1.1
1749340800,155091,34,4.9,4.8
1759017600,155091,35,4.2,4.0
1761436800,155091,55,0.9,0.7
1753056000,155091,33,13.8,12.5
1753142400,155091,38,2.6,2.3
1742342400,155091,34,0.1,0.1
1756944000,155091,37,22.8,20.8
1745107200,155091,33,1.3,1.3
1762819200,155091,45,0.8,0.6
1740787200,155091,36,1.4,1.3
1755993600,155091,27,29.2,27.4
1751414400,155091,31,7.0,6.5
1766534400,155091,61,2.8,2.4
1757980800,155091,45,0.6,0.4
1758931200,155091,32,3.2,3.0
1760659200,155091,51,9.2,7.8
1741046400,155091,41,2.0,1.9
1736726400,155091,41,0.4,0.4
1741910400,155091,40,0.3,0.2
1752710400,155091,27,9.1,8.2
1748736000,155091,32,4.0,3.9
1746403200,155091,42,0.6,0.6
1757289600,155091,35,16.8,15.5
1759708800,155091,50,4.5,4.1
1752969600,155091,33,2.6,2.3
1760140800,155091,56,3.1,2.6
1754870400,155091,32,3.0,2.7
1761350400,155091,49,1.8,1.4
1743206400,155091,44,0.4,0.4
1750464000,155091,34,1.7,1.5
1756512000,155091,43,16.1,14.4
1744848000,155091,32,1.4,1.4
1740614400,155091,41,0.2,0.2
1758585600,155091,39,2.9,2.7
1739318400,155091,38,1.7,3.8
1739664000,155091,49,3.0,3.0
1749513600,155091,39,6.5,6.4
1744156800,155091,38,2.7,2.6
1756339200,155091,54,18.7,16.9
1742256000,155091,40,0.3,0.3
1763510400,155091,57,1.2,0.9
1738022400,155091,42,0.6,0.6
1766966400,155091,43,1.9,1.0
1759190400,155091,53,1.5,1.4
1764028800,155091,36,2.9,0.2
1755820800,155091,24,12.0,10.9
1752364800,155091,30,10.9,9.9
1747526400,155091,47,1.8,1.8
1755302400,155091,29,4.7,4.3
1742860800,155091,44,0.3,0.3
1756857600,155091,34,14.4,12.8
1748563200,155091,31,5.0,4.8
1762128000,155091,37,0.3,0.2
1750032000,155091,28,13.8,13.7
1745020800,155091,27,2.1,2.1
1750291200,155091,30,32.0,31.3
1741564800,155091,40,1.3,1.3
1745884800,155091,45,4.1,4.0
1763424000,155091,56,1.5,1.2
1758326400,155091,35,3.1,2.9
1752278400,155091,35,4.3,3.9
1743120000,155091,42,4.0,3.9
1740009600,155091,51,3.1,3.1
1744416000,155091,39,1.2,1.1
1751932800,155091,29,6.0,5.5
1739232000,155091,40,1.3,1.1
1762300800,155091,55,1.6,1.2
1737417600,155091,40,2.7,2.6
1760918400,155091,48,0.3,0.2
1748476800,155091,32,4.0,3.9
1758499200,155091,47,3.0,2.7
1753660800,155091,29,3.2,2.8
1758153600,155091,41,6.0,5.6
1751587200,155091,52,6.0,5.6
1747872000,155091,34,2.5,2.4
1738800000,155091,42,1.7,1.6
1763078400,155091,51,2.8,2.3
1761955200,155091,42,1.3,1.0
1741305600,155091,40,1.0,1.0
1755043200,155091,27,8.6,7.7
1752624000,155091,33,8.4,7.6
1736553600,155091,42,4.3,4.4
1764806400,155091,48,3.1,1.9
1760054400,155091,46,2.3,1.9
1756080000,155091,43,19.8,18.1
1763769600,155091,56,1.2,0.9
1753315200,155091,29,4.6,4.1
1763683200,155091,58,0.6,0.4
1766016000,155091,42,0.1,0.1
1751500800,155091,34,8.0,7.6
1756252800,155091,59,11.5,10.4
1758758400,155091,36,1.7,1.5
1755216000,155091,26,4.1,3.6
1738195200,155091,40,3.8,3.7
1754265600,155091,31,11.5,10.3
1736899200,155091,46,3.8,3.8
1762041600,155091,43,1.3,1.1
1746230400,155091,30,25.3,24.7
1760400000,155091,50,0.9,0.7
1745366400,155091,30,1.5,1.4
1757203200,155091,46,25.0,22.9
