time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1681603200,171387,33,2.1,2.0
1683331200,171387,52,0.8,0.7
1681430400,171387,42,1.0,0.9
1726790400,171387,42,6.6,6.1
1716768000,171387,25,0.4,0.4
1714780800,171387,34,1.0,0.9
1726099200,171387,39,12.5,11.7
1688342400,171387,27,4.7,4.8
1709596800,171387,43,1.3,1.2
1680307200,171387,40,0.7,0.6
1676678400,171387,36,4.0,4.1
1728000000,171387,23,8.4,8.1
1691798400,171387,28,5.6,5.8
1719273600,171387,24,2.9,3.0
1716163200,171387,26,1.2,1.0
1723507200,171387,24,16.7,16.0
1705449600,171387,42,5.1,4.5
1693699200,171387,52,2.6,2.5
1697328000,171387,38,2.1,1.9
1710633600,171387,34,0.8,0.7
1728086400,171387,19,4.7,4.7
1734307200,171387,45,0.7,0.7
1685577600,171387,44,1.9,2.0
1698883200,171387,40,3.9,3.5
1722816000,171387,30,30.1,29.6
1677974400,171387,52,4.1,4.2
1678233600,171387,50,1.4,1.4
1714608000,171387,33,0.2,0.2
1702080000,171387,33,0.2,0.2
1684972800,171387,49,1.9,1.9
1702857600,171387,41,2.7,2.5
1722556800,171387,25,34.7,35.2
1697587200,171387,33,0.4,0.3
1712966400,171387,32,0.7,0.6
1701648000,171387,53,5.2,4.8
1683158400,171387,37,3.0,3.0
1693872000,171387,43,1.5,1.5
1681689600,171387,36,3.2,3.3
1727568000,171387,25,2.0,2.1
1715817600,171387,29,2.0,2.0
1686182400,171387,47,1.5,1.6
1679011200,171387,28,3.6,3.5
1718150400,171387,25,1.4,1.6
1729036800,171387,26,3.6,4.4
1702684800,171387,40,1.9,1.7
1731196800,171387,39,2.4,2.8
1679443200,171387,31,1.4,1.2
1726444800,171387,43,3.7,3.4
1695254400,171387,34,7.6,7.1
1689206400,171387,25,4.5,4.6
1722211200,171387,26,58.2,55.8
1679529600,171387,36,3.9,4.0
1706140800,171387,50,2.3,2.1
1735516800,171387,45,3.4,0.2
1716336000,171387,32,1.2,1.1
1685059200,171387,46,1.9,1.9
1724112000,171387,24,1.0,1.1
1728345600,171387,24,3.5,3.4
1725148800,171387,20,22.3,21.2
1717027200,171387,23,0.2,0.2
1683072000,171387,27,2.8,2.8
1722470400,171387,28,21.5,21.1
1715731200,171387,27,0.7,0.7
1692662400,171387,53,3.8,3.7
1708473600,171387,43,0.8,0.7
1697500800,171387,33,1.2,1.1
1692144000,171387,26,4.7,4.8
1707696000,171387,41,2.6,2.3
1677628800,171387,52,0.9,0.9
1679875200,171387,32,1.8,1.8
1701216000,171387,32,2.0,1.8
1696464000,171387,46,2.9,2.6
1698278400,171387,44,0.8,0.7
1690416000,171387,22,5.6,5.8
1719705600,171387,26,1.8,2.0
1681516800,171387,35,1.3,1.2
1678060800,171387,48,0.7,0.7
1733270400,171387,38,0.3,0.4
1683849600,171387,31,2.1,2.1
1705622400,171387,48,3.0,2.8
1733443200,171387,37,1.1,1.3
1691971200,171387,30,3.7,4.0
1720137600,171387,22,3.1,3.2
1693267200,171387,36,2.5,2.7
1676419200,171387,29,0.3,0.3
1683504000,171387,40,1.0,1.0
1708646400,171387,38,1.0,1.0
1675728000,171387,12,0.1,0.1
1694995200,171387,31,6.3,6.1
1727222400,171387,35,11.0,10.5
1690070400,171387,21,4.6,4.9
1731542400,171387,40,0.7,0.8
1702944000,171387,53,4.0,3.9
