time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1733270400,232791,65,9.2,10.1
1726876800,232791,38,3.0,1.9
1732665600,232791,63,3.8,4.1
1732838400,232791,61,4.0,4.0
1726099200,232791,62,19.1,19.9
1724630400,232791,35,4.6,4.7
1733097600,232791,59,3.9,4.2
1730073600,232791,54,1.1,0.3
1729641600,232791,41,4.0,2.8
1732233600,232791,70,5.7,6.1
1732579200,232791,64,5.8,5.1
1728691200,232791,31,15.3,15.6
1732752000,232791,57,3.0,2.9
1734480000,232791,70,1.5,1.6
1728172800,232791,27,56.8,59.9
1728345600,232791,28,29.0,30.6
1734739200,232791,66,3.2,3.3
1729123200,232791,56,3.1,2.1
1726531200,232791,67,5.6,4.9
1725408000,232791,35,72.6,76.2
1727308800,232791,29,3.9,3.1
1734307200,232791,64,4.2,3.4
1731110400,232791,58,18.6,19.2
1730246400,232791,41,2.9,2.0
1724889600,232791,24,69.7,72.9
1725494400,232791,33,64.8,67.4
1726617600,232791,63,10.3,10.3
1727568000,232791,29,5.2,4.6
1730160000,232791,54,4.5,3.8
1728000000,232791,29,4.1,3.0
1729900800,232791,43,2.4,1.3
1734048000,232791,56,10.6,11.6
1735430400,232791,70,4.7,2.4
1724457600,232791,31,4.5,4.4
1726185600,232791,56,5.7,5.6
1728864000,232791,37,32.1,33.5
1731888000,232791,62,1.9,1.4
1730937600,232791,51,20.6,21.1
1727827200,232791,25,11.2,10.9
1729382400,232791,41,3.4,2.4
1725926400,232791,23,56.6,59.2
1728777600,232791,32,23.0,23.8
1726272000,232791,44,8.3,7.9
1733616000,232791,60,12.4,13.7
1731801600,232791,55,6.9,6.2
1735171200,232791,67,2.6,1.9
1734220800,232791,64,1.2,1.3
1729728000,232791,59,4.0,3.0
1725062400,232791,24,167.3,175.6
1735344000,232791,68,5.7,3.5
1734134400,232791,65,1.2,1.3
1724803200,232791,24,4.6,4.1
1726963200,232791,38,3.5,2.6
1725753600,232791,23,29.7,30.7
1733788800,232791,58,2.7,2.9
1725235200,232791,20,33.0,33.7
1730764800,232791,52,2.6,1.4
1728259200,232791,32,18.5,18.7
1730419200,232791,53,1.5,0.5
1732060800,232791,60,3.5,3.8
1734652800,232791,67,4.4,4.6
1728086400,232791,33,16.3,16.6
1725148800,232791,22,111.3,115.8
1725667200,232791,24,71.0,74.2
1733702400,232791,58,4.3,4.5
1733529600,232791,62,11.2,12.4
1735516800,232791,56,1.5,1.6
1730332800,232791,50,2.6,1.8
1734998400,232791,68,1.8,2.0
1725840000,232791,22,24.7,25.2
1727222400,232791,36,1.8,0.8
1727049600,232791,37,2.8,1.8
1728432000,232791,29,19.0,19.5
1727395200,232791,38,3.8,3.0
1732147200,232791,67,3.8,4.2
1734393600,232791,74,4.3,4.7
1733184000,232791,63,5.3,5.8
1724976000,232791,26,186.2,196.4
1727481600,232791,37,7.3,6.9
1734825600,232791,66,1.6,1.7
1724544000,232791,47,12.1,12.5
1735084800,232791,66,0.8,0.8
1729296000,232791,38,2.4,1.3
1734912000,232791,68,2.8,3.1
1730851200,232791,49,12.8,12.7
1728604800,232791,39,34.3,35.8
1729814400,232791,55,3.9,2.7
1733875200,232791,54,5.0,5.2
1725321600,232791,40,27.6,28.7
1733961600,232791,47,7.4,8.0
1726790400,232791,51,10.0,9.7
1731283200,232791,57,16.5,16.6
1731369600,232791,55,3.7,2.5
1729209600,232791,41,1.7,0.6
1733443200,232791,64,8.2,9.0
1728950400,232791,31,9.0,8.6
1727136000,232791,41,2.3,1.4
1731456000,232791,59,2.7,1.8
1732492800,232791,64,5.5,4.7
1733356800,232791,65,6.9,7.4
1730505600,232791,59,2.1,1.4
1730592000,232791,62,4.0,3.3
1727740800,232791,25,4.4,3.5
1731024000,232791,55,23.1,24.0
1731196800,232791,55,22.7,23.1
1730678400,232791,57,4.1,3.2
1728518400,232791,30,19.8,20.4
1726704000,232791,57,11.1,10.9
1732924800,232791,60,3.6,3.8
1726358400,232791,34,7.9,7.3
1731542400,232791,63,6.4,6.9
1733011200,232791,58,4.7,4.8
1731715200,232791,54,8.3,8.5
1729987200,232791,35,1.8,1.0
1731628800,232791,57,1.6,1.8
1725580800,232791,26,50.9,52.9
1724716800,232791,29,3.9,3.8
1724284800,232791,28,33.3,34.5
1732320000,232791,69,8.4,8.2
1724371200,232791,21,5.9,6.0
1726012800,232791,33,18.3,18.7
1731974400,232791,60,3.9,4.1
1729555200,232791,37,3.0,1.9
1729468800,232791,38,3.5,2.6
1734566400,232791,70,2.0,2.1
1727654400,232791,24,5.7,4.8
1735257600,232791,70,3.1,0.7
1726444800,232791,46,6.0,5.3
1732406400,232791,67,3.2,1.9
1727913600,232791,29,7.2,6.5
1729036800,232791,34,7.4,6.9
