time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1617321600,74125,21,6.1,7.9
1609718400,74125,54,0.7,1.1
1617753600,74125,25,2.7,4.1
1619568000,74125,37,9.2,10.8
1622073600,74125,30,1.0,2.0
1628121600,74125,24,14.3,15.7
1618358400,74125,20,2.5,3.8
1621209600,74125,23,2.8,3.8
1629936000,74125,26,40.2,42.1
1624320000,74125,22,9.6,10.9
1609891200,74125,49,0.4,0.7
1620950400,74125,26,4.9,6.0
1623110400,74125,24,1.2,2.1
1609632000,74125,55,1.1,1.6
1619740800,74125,25,3.2,4.3
1616544000,74125,37,2.8,4.4
1619136000,74125,27,5.4,6.6
1629590400,74125,39,21.2,23.8
1622419200,74125,21,2.7,3.5
1629244800,74125,29,30.5,32.3
1625616000,74125,15,11.0,12.3
1610064000,74125,63,13.8,15.8
1626307200,74125,17,49.7,51.1
1612137600,74125,40,2.0,2.4
1612828800,74125,39,8.9,10.2
1615334400,74125,37,5.9,7.8
1666396800,74125,34,2.6,3.0
1628899200,74125,28,120.6,126.9
1613001600,74125,43,13.3,15.0
1627430400,74125,24,17.2,18.9
1618444800,74125,28,3.4,4.7
1614988800,74125,31,3.8,4.4
1616889600,74125,30,4.4,5.9
1628726400,74125,27,23.0,24.4
1611273600,74125,63,34.1,37.0
1622505600,74125,24,4.1,4.9
1610582400,74125,49,7.6,8.8
1612224000,74125,38,1.9,2.4
1622851200,74125,17,2.2,3.1
1628640000,74125,23,18.2,19.8
1624406400,74125,37,9.2,10.4
1626048000,74125,22,22.5,24.1
1610668800,74125,51,11.2,12.7
1612656000,74125,36,0.8,1.1
1627516800,74125,24,22.7,24.8
1617840000,74125,26,2.4,3.8
1628553600,74125,27,11.5,13.2
1617148800,74125,28,4.8,6.8
1616630400,74125,52,2.4,4.0
1615939200,74125,40,9.1,11.1
1619395200,74125,52,1.9,3.1
1620691200,74125,25,1.4,2.3
1628812800,74125,24,62.2,65.1
1617408000,74125,21,6.0,8.1
1619481600,74125,52,2.7,3.8
1628208000,74125,29,26.0,28.6
1623283200,74125,42,1.8,2.8
1610841600,74125,61,32.7,35.6
1625529600,74125,17,14.2,15.8
1625011200,74125,13,2.3,3.1
1614384000,74125,47,0.5,0.9
1622937600,74125,22,0.3,1.2
1626998400,74125,18,13.2,14.9
1627948800,74125,33,25.8,27.3
1616803200,74125,38,5.2,6.9
1614297600,74125,46,2.2,2.7
1621555200,74125,41,0.9,1.8
1628467200,74125,22,6.1,7.5
1622764800,74125,23,5.0,5.7
1626480000,74125,21,24.5,26.0
1625270400,74125,19,15.1,16.4
1624060800,74125,22,5.5,6.0
1627603200,74125,23,21.6,23.4
1627776000,74125,49,16.5,17.4
1618790400,74125,24,5.0,6.4
1627689600,74125,27,17.9,19.9
1624492800,74125,25,5.2,6.3
1625788800,74125,16,10.3,11.7
1611360000,74125,62,11.7,13.8
1612483200,74125,43,2.4,3.0
1610755200,74125,61,24.2,26.8
1624838400,74125,20,5.8,5.9
1615075200,74125,47,2.8,3.4
1614124800,74125,43,1.2,1.6
1625875200,74125,15,26.3,27.3
1615248000,74125,48,4.8,6.5
1619222400,74125,30,4.0,5.5
1618963200,74125,22,4.4,5.9
1629331200,74125,34,31.5,33.4
1624579200,74125,22,4.5,5.2
1621814400,74125,36,1.6,2.5
1614211200,74125,45,2.7,3.3
1611187200,74125,49,16.4,18.5
1610236800,74125,56,6.0,7.1
1629849600,74125,27,26.1,28.1
1613347200,74125,61,4.8,5.7
1626825600,74125,27,42.3,44.5
1619308800,74125,48,1.1,2.3
1611446400,74125,51,4.7,5.8
1615680000,74125,33,7.1,8.8
1624665600,74125,24,4.7,5.2
1617494400,74125,21,9.8,11.6
1620345600,74125,25,0.8,1.9
1620432000,74125,25,0.3,1.4
1616457600,74125,55,1.7,3.2
1611619200,74125,52,9.7,11.4
1619654400,74125,31,3.7,4.9
1618185600,74125,24,1.3,2.7
1623888000,74125,24,3.6,4.1
1621468800,74125,36,0.9,1.9
1621036800,74125,25,4.6,5.5
1616716800,74125,46,1.6,3.0
1616371200,74125,43,2.3,3.8
1621641600,74125,50,2.5,3.6
1614729600,74125,39,3.3,4.1
1627171200,74125,27,24.0,25.7
1614643200,74125,39,1.7,2.3
1626134400,74125,16,33.5,35.5
1615161600,74125,41,3.6,4.6
1609804800,74125,59,3.3,4.2
1613520000,74125,51,0.4,0.8
1620086400,74125,30,2.1,3.1
1616112000,74125,37,1.7,3.3
1629072000,74125,23,63.6,66.5
1615420800,74125,36,7.8,9.7
1620518400,74125,27,2.4,3.6
1611100800,74125,47,6.7,7.9
1621900800,74125,52,2.1,3.1
1609977600,74125,55,2.7,3.4
1609459200,74125,57,23.8,25.9
1619049600,74125,22,6.1,7.5
1614470400,74125,39,1.8,2.5
1628035200,74125,27,18.7,20.3
1623974400,74125,22,4.2,4.8
1626652800,74125,22,47.5,48.8
1612742400,74125,41,6.0,7.1
1621296000,74125,22,3.3,4.4
1628985600,74125,30,109.7,115.2
1626912000,74125,19,20.6,22.5
1625961600,74125,20,36.8,38.0
1618876800,74125,18,2.0,3.4
1614902400,74125,30,3.3,4.0
1609545600,74125,49,2.1,2.8
1629417600,74125,31,31.4,33.3
1618531200,74125,29,3.0,4.3
1620604800,74125,28,0.8,1.8
1613952000,74125,51,0.9,1.4
