time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1766448000,251739,53,13.1,13.3
1762732800,251739,33,11.5,11.4
1758412800,251739,32,7.0,7.0
1767744000,251739,46,1.8,1.8
1763683200,251739,56,28.5,28.7
1768176000,251739,38,30.6,30.5
1762041600,251739,31,5.5,5.4
1756684800,251739,18,24.8,24.8
1761177600,251739,31,10.7,11.0
1765238400,251739,55,5.1,5.0
1756857600,251739,25,18.5,18.6
1759017600,251739,24,26.0,26.2
1768003200,251739,38,17.8,17.7
1769385600,251739,32,33.7,33.8
1766188800,251739,40,6.5,6.3
1759104000,251739,29,5.5,5.5
1769126400,251739,47,34.1,33.8
1757203200,251739,31,24.2,24.5
1758499200,251739,32,4.6,4.4
1759276800,251739,36,2.3,2.2
1768953600,251739,47,27.4,27.0
1758844800,251739,26,6.3,21.8
1769731200,251739,45,44.8,44.9
1760054400,251739,25,4.9,5.0
1763856000,251739,43,26.4,26.3
1766102400,251739,42,1.0,0.9
1768089600,251739,37,19.3,19.2
1766361600,251739,58,22.7,22.8
1762992000,251739,41,9.8,10.0
1761091200,251739,30,6.4,6.4
1760486400,251739,42,8.7,8.8
1769299200,251739,30,24.1,23.7
1765152000,251739,52,15.6,15.3
1757808000,251739,29,13.5,13.7
1764547200,251739,40,21.1,21.0
1762819200,251739,34,18.1,18.2
1758672000,251739,25,6.7,62.7
1761436800,251739,44,0.8,0.8
1757721600,251739,27,7.9,8.0
1766793600,251739,30,0.4,0.4
1767916800,251739,38,9.9,9.7
1762473600,251739,34,4.8,4.6
1769644800,251739,42,43.7,43.9
1757462400,251739,29,16.6,16.8
1762560000,251739,30,7.8,7.7
1757289600,251739,26,14.8,14.9
1765670400,251739,38,30.3,30.2
1766016000,251739,41,3.2,3.2
1769558400,251739,39,36.8,36.5
1762905600,251739,36,21.3,21.7
1768435200,251739,48,59.4,59.6
1757030400,251739,25,50.8,51.3
1767830400,251739,42,2.8,2.6
1759795200,251739,31,7.7,7.7
1764633600,251739,41,26.8,26.8
1764201600,251739,52,29.2,29.5
