time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1722124800,81569,23,78.0,76.5
1676851200,81569,40,14.4,14.8
1715817600,81569,29,18.9,18.0
1685404800,81569,29,13.0,12.4
1716336000,81569,44,15.7,14.8
1718496000,81569,24,3.2,3.2
1719532800,81569,27,3.9,3.9
1688342400,81569,21,7.1,6.3
1674691200,81569,58,19.1,19.7
1716854400,81569,23,17.7,16.5
1717459200,81569,32,14.4,13.3
1690070400,81569,21,20.2,18.6
1674864000,81569,60,4.2,4.6
1675641600,81569,45,0.3,0.3
1690416000,81569,24,18.9,17.4
1720656000,81569,20,36.5,35.2
1714608000,81569,34,21.1,20.1
1686873600,81569,30,32.3,30.6
1674000000,81569,54,5.2,5.7
1716422400,81569,42,3.1,3.3
1689724800,81569,19,9.4,8.7
1722729600,81569,28,43.2,42.4
1719705600,81569,31,3.4,3.4
1688947200,81569,26,14.2,12.8
1676678400,81569,36,13.7,14.6
1672876800,81569,48,7.3,7.9
1719964800,81569,21,5.2,5.3
1686268800,81569,55,14.0,13.4
1685664000,81569,33,10.2,10.0
1719360000,81569,24,17.8,16.1
1718323200,81569,19,6.0,5.6
1713744000,81569,24,2.0,2.2
1720396800,81569,19,21.3,20.8
1722556800,81569,26,36.8,36.0
1721606400,81569,20,29.5,27.4
1673481600,81569,50,7.9,7.8
1673913600,81569,60,2.9,3.3
1686528000,81569,43,14.9,14.0
1714521600,81569,40,2.5,2.5
1689379200,81569,22,12.2,11.2
1719792000,81569,29,5.2,5.4
1713830400,81569,30,8.4,8.5
1721347200,81569,22,47.7,45.6
1718928000,81569,20,9.5,9.0
1718582400,81569,36,2.0,2.0
1688083200,81569,29,17.4,15.5
1688688000,81569,22,20.0,18.4
1720224000,81569,18,14.8,14.6
1687219200,81569,42,8.0,7.8
1719619200,81569,23,13.7,13.2
1720483200,81569,21,26.3,25.5
1722211200,81569,23,75.3,73.7
1716940800,81569,39,3.9,3.8
1676764800,81569,43,26.3,26.6
1685491200,81569,42,14.8,14.2
1722643200,81569,26,45.6,44.6
1714089600,81569,43,1.3,1.3
1673136000,81569,49,5.5,6.0
1688774400,81569,23,18.2,16.4
1717113600,81569,25,6.3,6.2
1675987200,81569,35,2.0,2.2
1675728000,81569,47,7.7,8.1
1675296000,81569,42,13.2,14.7
1688601600,81569,19,22.8,21.4
1687132800,81569,39,3.6,3.6
1687824000,81569,38,15.6,14.3
1675555200,81569,42,7.7,8.0
1716681600,81569,31,4.4,4.3
1716768000,81569,28,22.3,21.2
1720137600,81569,21,35.8,35.4
1722297600,81569,35,47.2,47.1
1716076800,81569,26,5.0,5.1
1685750400,81569,31,8.4,8.2
1718409600,81569,21,3.1,3.0
1685836800,81569,30,11.6,10.9
1690156800,81569,22,22.3,20.1
1718236800,81569,19,6.0,5.7
1721174400,81569,21,25.3,24.4
1675036800,81569,41,3.3,5.3
1674172800,81569,56,2.1,2.8
1717372800,81569,53,11.7,10.9
1688860800,81569,24,18.0,16.1
1674950400,81569,52,0.8,2.4
1690243200,81569,24,21.6,20.1
1721433600,81569,18,41.9,39.6
1715299200,81569,32,26.2,25.0
1717977600,81569,37,222.3,9.9
1721779200,81569,24,90.1,84.7
1720051200,81569,21,8.4,8.7
1687564800,81569,22,15.0,13.9
1686700800,81569,39,9.5,9.3
1689552000,81569,21,11.8,11.0
1688256000,81569,18,8.8,7.7
1715904000,81569,26,2.5,2.7
1687910400,81569,39,17.2,15.6
1687996800,81569,35,10.8,9.7
1673308800,81569,64,22.8,22.6
1688428800,81569,19,6.3,6.0
1717632000,81569,31,14.2,13.3
1714348800,81569,33,19.6,18.9
1674259200,81569,55,11.7,14.1
1675382400,81569,44,19.4,20.1
1685059200,81569,26,5.5,5.6
1715385600,81569,30,19.8,19.0
1686009600,81569,30,10.4,9.9
1685318400,81569,31,17.6,16.9
1720742400,81569,18,35.1,33.6
1719187200,81569,22,10.7,9.9
1713916800,81569,34,10.8,10.7
1714176000,81569,37,2.8,2.8
1674086400,81569,61,3.4,3.8
1717286400,81569,27,10.2,9.7
1720915200,81569,20,44.1,42.5
1721520000,81569,24,41.2,38.9
1718668800,81569,33,11.2,11.0
1673395200,81569,64,32.3,31.7
1672790400,81569,53,24.3,24.7
1721865600,81569,31,44.9,42.6
1685145600,81569,42,8.8,8.7
1689984000,81569,20,17.7,16.2
1674604800,81569,57,14.9,15.6
1715644800,81569,29,5.3,5.3
1675209600,81569,38,5.9,8.4
1673222400,81569,53,5.9,5.9
1716508800,81569,34,16.2,16.0
1674345600,81569,59,16.7,17.6
1673568000,81569,45,6.9,7.0
1720569600,81569,18,33.3,31.9
1718150400,81569,20,4.6,4.2
1719273600,81569,20,12.1,11.0
1689033600,81569,22,12.0,10.8
1672617600,81569,60,12.0,11.8
1719878400,81569,26,7.0,7.0
1721260800,81569,22,32.8,31.2
1676246400,81569,43,15.0,15.4
1717804800,81569,25,7.0,6.5
1715731200,81569,30,3.8,3.9
1686614400,81569,40,14.9,13.7
1690329600,81569,25,22.8,21.2
1717891200,81569,37,10.0,9.8
1687392000,81569,26,11.9,11.3
1719446400,81569,29,9.1,8.5
1689811200,81569,20,12.1,10.9
1672704000,81569,49,21.6,21.6
1715472000,81569,30,22.4,21.5
1675123200,81569,40,5.0,7.7
1672531200,81569,69,17.3,15.5
1715558400,81569,28,22.6,21.5
1715212800,81569,39,3.9,4.0
1714867200,81569,52,14.9,14.3
1721952000,81569,20,80.0,78.0
1676505600,81569,38,8.5,10.9
1717545600,81569,34,5.6,5.5
1673827200,81569,55,6.3,6.7
1722470400,81569,26,34.2,33.8
1675900800,81569,41,5.7,6.2
1685232000,81569,36,13.4,13.1
1715126400,81569,39,1.8,1.9
1722384000,81569,32,35.1,35.2
1718755200,81569,20,15.7,14.7
1686096000,81569,39,15.5,14.5
1674432000,81569,57,13.7,16.4
1718841600,81569,16,16.9,15.7
1685923200,81569,33,9.7,9.2
1689120000,81569,21,17.2,15.6
1672963200,81569,64,35.5,34.9
1714953600,81569,44,3.2,3.2
1721692800,81569,20,125.3,119.1
1676073600,81569,38,11.3,12.0
1676160000,81569,44,24.0,24.4
1722816000,81569,24,34.1,33.4
1714003200,81569,31,3.3,3.4
1675468800,81569,48,30.5,30.6
1686441600,81569,38,18.5,17.5
1686960000,81569,25,33.4,31.6
1721088000,81569,18,35.7,34.2
1719014400,81569,22,19.3,17.9
1720310400,81569,15,6.7,6.7
1717718400,81569,34,19.9,18.6
1718064000,81569,26,24.0,22.1
1689206400,81569,22,11.7,10.1
1673654400,81569,54,5.5,5.7
1689638400,81569,21,5.1,4.8
1687651200,81569,28,10.0,9.2
1674777600,81569,57,14.3,14.7
1717200000,81569,24,14.9,14.2
1673740800,81569,61,3.5,3.8
1687046400,81569,35,11.8,11.2
1719100800,81569,22,25.4,23.4
1720828800,81569,21,57.9,55.8
1673049600,81569,62,26.5,25.4
1688169600,81569,22,17.2,15.0
1715040000,81569,46,2.4,2.4
1717027200,81569,29,3.1,3.3
1688515200,81569,17,23.3,21.8
1714694400,81569,38,11.7,11.4
1686787200,81569,27,8.0,7.6
1714435200,81569,30,1.8,1.6
1689292800,81569,24,6.2,5.8
1675814400,81569,46,5.4,5.7
1676592000,81569,36,6.4,7.8
1687478400,81569,26,7.0,6.7
1716595200,81569,39,4.5,4.8
1689465600,81569,20,14.7,13.4
1714780800,81569,29,6.3,5.8
1716249600,81569,27,6.8,6.8
1674518400,81569,56,20.7,22.5
1721001600,81569,22,42.8,41.1
1722038400,81569,25,97.3,95.8
1685577600,81569,42,13.3,12.9
1676332800,81569,49,1.6,1.7
1686355200,81569,55,19.2,18.3
1686182400,81569,36,10.6,10.0
1676419200,81569,45,1.8,2.0
1715990400,81569,20,16.3,15.8
1716163200,81569,28,2.8,3.0
1687305600,81569,35,10.8,10.4
1689897600,81569,20,17.0,15.5
1714262400,81569,33,11.9,11.6
1687737600,81569,32,10.6,9.7
