time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1759795200,232367,,3.4,3.7
1761004800,232367,,3.6,3.7
1751328000,232367,25.0,3.8,4.8
1763596800,232367,,2.8,3.1
1752969600,232367,34.0,4.1,4.6
1753228800,232367,33.0,5.8,6.5
1750809600,232367,28.0,3.9,4.5
1759536000,232367,,6.1,6.3
1762214400,232367,,5.5,5.5
1749081600,232367,22.0,1.6,2.0
1760313600,232367,,2.3,2.4
1761868800,232367,,16.1,15.9
1761177600,232367,,3.9,4.0
1753660800,232367,32.0,4.6,5.3
1753574400,232367,37.0,3.3,3.9
1752278400,232367,27.0,3.1,3.7
1752364800,232367,26.0,5.2,6.0
1756425600,232367,46.0,20.9,22.0
1760832000,232367,,2.8,2.9
1763337600,232367,,2.3,2.5
1755734400,232367,27.0,7.8,8.5
1763683200,232367,,6.8,7.0
1758153600,232367,39.0,5.2,5.6
1753401600,232367,28.0,7.2,8.1
1759276800,232367,,0.5,0.6
1764201600,232367,,4.3,4.3
1756512000,232367,40.0,22.9,23.9
1755216000,232367,29.0,3.8,4.3
1751673600,232367,45.0,3.8,4.5
1751846400,232367,29.0,4.4,5.4
1760572800,232367,,11.2,11.2
1760400000,232367,,1.3,1.4
1752192000,232367,30.0,0.2,0.4
1762041600,232367,,1.6,1.7
1762560000,232367,,3.0,2.8
1764288000,232367,,2.1,2.1
1757980800,232367,45.0,1.1,1.3
1762732800,232367,,4.6,4.7
1755561600,232367,32.0,6.2,7.0
1752105600,232367,28.0,4.0,4.5
1761436800,232367,,0.0,0.0
1759363200,232367,,2.2,2.5
1762905600,232367,,5.9,6.3
1761955200,232367,,20.0,19.7
1751760000,232367,33.0,3.7,4.5
1751414400,232367,20.0,5.8,6.9
1754352000,232367,47.0,2.4,2.8
1764374400,232367,,7.5,6.9
1755820800,232367,27.0,55.9,55.3
1753833600,232367,22.0,3.2,3.6
1757894400,232367,52.0,1.8,2.0
1763942400,232367,,8.0,8.0
1756598400,232367,35.0,19.2,20.0
1757289600,232367,35.0,11.9,12.4
1761350400,232367,,2.6,2.6
1762300800,232367,,2.9,3.0
1753747200,232367,24.0,7.0,7.9
1754611200,232367,35.0,0.4,0.6
1748822400,232367,22.0,21.7,23.5
1761696000,232367,,16.4,16.3
1762128000,232367,,4.6,4.3
1762992000,232367,,3.5,3.6
1754697600,232367,32.0,1.4,1.7
1761609600,232367,,19.8,18.9
1763251200,232367,,6.2,6.4
1753056000,232367,39.0,2.2,2.5
1758585600,232367,39.0,3.2,3.4
1757721600,232367,50.0,5.1,5.6
1752019200,232367,25.0,6.6,8.0
1751068800,232367,31.0,1.2,1.5
1748736000,232367,22.0,2.0,2.6
1763164800,232367,,3.2,3.5
1764028800,232367,,5.3,5.0
1764115200,232367,,3.6,3.6
1760486400,232367,,2.6,2.8
1752710400,232367,28.0,6.1,6.8
1759881600,232367,,4.1,4.3
1763078400,232367,,2.1,2.2
1748995200,232367,22.0,1.9,2.3
1752883200,232367,27.0,9.9,10.9
1761523200,232367,,0.2,0.2
1751241600,232367,26.0,1.7,2.2
1756944000,232367,30.0,34.1,34.6
1757203200,232367,45.0,26.6,26.7
