time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1672358400,81569,56,4.3,4.3
1630368000,81569,25,32.5,32.4
1651363200,81569,56,5.2,5.2
1659830400,81569,19,9.9,9.4
1629417600,81569,30,36.4,36.3
1643328000,81569,47,34.9,37.3
1635552000,81569,49,17.9,18.2
1647129600,81569,35,10.2,10.5
1663372800,81569,37,30.3,30.6
1628985600,81569,26,116.3,112.3
1659312000,81569,19,18.3,16.5
1660348800,81569,25,13.1,12.5
1669680000,81569,50,10.2,10.7
1670889600,81569,62,5.6,6.1
1611100800,81569,49,31.8,33.7
1614211200,81569,45,21.1,22.4
1638489600,81569,64,64.5,65.9
1619827200,81569,36,4.6,4.6
1615593600,81569,32,26.1,26.9
1638230400,81569,59,51.3,52.1
1665532800,81569,31,22.3,21.9
1665100800,81569,32,19.5,19.5
1668988800,81569,48,47.1,47.0
1618185600,81569,24,9.5,9.8
1661731200,81569,24,13.7,13.4
1659225600,81569,18,17.1,15.8
1629676800,81569,25,33.0,33.0
1620432000,81569,27,1.5,1.5
1654387200,81569,47,6.1,6.4
1616803200,81569,36,38.2,38.7
1634860800,81569,33,11.2,11.4
1669075200,81569,48,47.1,47.3
1647907200,81569,38,14.6,15.2
1650067200,81569,40,19.3,19.6
1657324800,81569,26,5.9,5.5
1660608000,81569,21,15.3,14.7
1628035200,81569,28,24.4,24.1
1662076800,81569,18,40.4,39.5
1644105600,81569,51,46.6,48.4
1616544000,81569,36,28.4,29.1
1670716800,81569,53,5.3,5.5
1622073600,81569,31,8.4,8.6
1637280000,81569,56,28.2,28.7
1652486400,81569,38,7.5,7.7
1629936000,81569,24,40.1,40.4
1668729600,81569,54,36.4,36.0
1647475200,81569,35,18.9,19.8
1631750400,81569,24,8.2,8.3
1653091200,81569,28,4.5,4.6
1649980800,81569,41,12.2,12.4
1623628800,81569,30,8.1,7.8
1619913600,81569,39,2.7,2.7
1651968000,81569,42,1.5,1.6
1613088000,81569,69,12.0,13.0
1622419200,81569,21,6.1,5.9
1663200000,81569,39,32.5,32.5
1643414400,81569,51,41.4,44.0
1665014400,81569,33,17.4,17.3
1637712000,81569,47,13.3,14.2
1621814400,81569,40,9.0,9.3
1622160000,81569,30,4.3,4.4
1630022400,81569,30,17.2,17.3
1618876800,81569,19,7.0,7.1
1632441600,81569,31,10.8,10.8
1623801600,81569,30,3.1,3.0
1647734400,81569,41,0.9,0.9
1613865600,81569,55,27.9,29.2
1618012800,81569,23,10.8,11.0
1655251200,81569,32,14.3,14.8
1613001600,81569,46,13.5,14.5
1627603200,81569,23,28.1,26.8
1670457600,81569,57,25.0,25.0
1667088000,81569,45,37.2,36.8
1669420800,81569,54,27.9,27.7
1653868800,81569,58,0.5,0.5
1641859200,81569,50,32.3,34.0
1648166400,81569,30,19.9,20.3
1646352000,81569,43,8.5,9.3
1613692800,81569,62,14.5,15.4
1615161600,81569,42,4.0,4.3
1628640000,81569,22,23.1,22.3
1663286400,81569,38,26.2,26.5
1614384000,81569,47,11.3,11.9
1659657600,81569,18,11.3,10.5
1634083200,81569,35,24.6,25.4
1652140800,81569,50,9.6,10.0
1650758400,81569,32,8.7,8.9
1663632000,81569,33,20.4,20.6
1625097600,81569,16,9.7,9.1
