time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1677542400,171695,51,0.2,0.2
1694736000,171695,30,4.8,4.7
1693699200,171695,49,6.2,5.9
1689811200,171695,22,4.7,4.7
1677196800,171695,47,1.1,0.9
1715299200,171695,32,0.6,0.7
1713139200,171695,34,1.1,1.1
1718409600,171695,22,1.1,1.1
1722643200,171695,28,41.8,42.4
1678060800,171695,58,0.5,0.4
1725062400,171695,27,151.6,146.7
1727049600,171695,32,5.3,54.9
1726444800,171695,39,5.3,15.0
1692576000,171695,55,10.8,10.5
1722729600,171695,28,47.4,46.3
1680566400,171695,33,0.1,0.1
1687996800,171695,34,7.2,7.0
1682380800,171695,38,0.4,0.3
1686787200,171695,26,4.2,3.8
1714348800,171695,32,1.8,1.9
1684108800,171695,47,2.1,1.8
1723766400,171695,31,14.6,14.5
1708819200,171695,39,1.1,1.0
1714780800,171695,28,1.3,1.3
1680652800,171695,29,1.0,1.0
1709337600,171695,48,0.3,0.3
1693353600,171695,30,18.4,18.1
1704844800,171695,45,0.6,0.5
1687392000,171695,26,2.2,2.1
1724976000,171695,25,112.2,109.6
1704672000,171695,49,18.2,17.1
1716940800,171695,41,1.8,1.8
1681516800,171695,32,2.0,1.8
1679184000,171695,31,10.0,9.2
1719792000,171695,29,3.7,3.5
1687478400,171695,26,2.6,2.5
1731024000,171695,37,13.4,4037.2
1691712000,171695,26,7.3,7.2
1726531200,171695,50,10.4,12.9
1689465600,171695,22,3.2,3.3
1723507200,171695,24,67.5,26.7
1677283200,171695,44,1.7,1.5
1687824000,171695,36,5.7,5.6
1688256000,171695,21,4.5,4.2
1698192000,171695,42,3.7,3.6
1703376000,171695,46,4.9,4.7
1692057600,171695,24,5.9,5.9
1723420800,171695,25,37.0,37.5
1675123200,171695,52,4.6,4.1
1710460800,171695,34,2.7,2.6
1703203200,171695,56,27.6,26.6
1730505600,171695,46,3.2,3439.8
1717372800,171695,48,0.3,0.4
1683072000,171695,28,7.3,7.0
1712966400,171695,37,1.5,1.5
1703289600,171695,53,8.3,7.9
1703116800,171695,56,33.2,32.7
1723161600,171695,26,3115.1,105.3
1695340800,171695,35,5.4,5.2
1689984000,171695,23,10.2,10.3
1694217600,171695,32,5.7,5.7
1702512000,171695,50,18.9,18.3
1700611200,171695,47,14.7,14.4
1695081600,171695,28,8.2,7.9
1708473600,171695,46,3.3,3.2
1682035200,171695,39,3.8,3.6
1674777600,171695,60,11.8,10.9
1733875200,171695,52,26.3,4460.8
1675555200,171695,51,7.2,6.4
1699747200,171695,38,3.4,3.2
1679616000,171695,37,0.4,0.4
1720569600,171695,21,20.3,20.2
1734825600,171695,52,31.7,3983.6
1720310400,171695,20,3.7,3.7
1679097600,171695,29,4.9,4.5
1684972800,171695,31,5.1,5.1
1725494400,171695,28,75.7,75.5
1721260800,171695,25,21.5,21.5
1700870400,171695,40,6.9,6.4
1723680000,171695,27,62.3,35.6
1720224000,171695,23,5.6,5.4
1696204800,171695,48,6.5,6.2
1679356800,171695,42,4.0,3.7
1725840000,171695,26,26.6,26.8
1702598400,171695,50,20.9,19.8
1685750400,171695,30,7.4,7.2
1686009600,171695,30,4.1,4.1
1691193600,171695,35,13.9,13.7
1727395200,171695,32,5.4,610.3
1709251200,171695,52,0.1,0.1
1703980800,171695,50,28.9,28.0
1720137600,171695,24,11.9,11.5
1729296000,171695,32,3.1,3684.5
1731801600,171695,41,4.1,3993.1
1681776000,171695,46,2.6,2.5
1726790400,171695,36,12.5,12.7
1712275200,171695,61,1.7,1.5
1729987200,171695,29,11.6,3375.9
1682899200,171695,26,3.1,3.0
1717286400,171695,27,1.7,1.9
