time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1646006400,108046,56,1.2,1.1
1646611200,108046,53,4.6,4.8
1652313600,108046,40,1.3,1.5
1640217600,108046,61,1.6,1.7
1626912000,108046,23,11.5,12.9
1634860800,108046,51,1.1,1.4
1650240000,108046,41,2.2,2.3
1636502400,108046,57,2.2,2.3
1631664000,108046,31,3.1,4.1
1637107200,108046,59,4.6,4.6
1648771200,108046,42,2.9,3.1
1628640000,108046,25,13.7,15.8
1663718400,108046,37,15.3,18.1
1634515200,108046,36,6.1,6.6
1646524800,108046,62,3.3,3.6
1665792000,108046,43,12.9,14.8
1628294400,108046,33,8.1,9.4
1624665600,108046,31,4.6,5.8
1661731200,108046,19,15.7,18.2
1641945600,108046,54,1.0,1.1
1623974400,108046,29,1.2,1.7
1645315200,108046,57,1.6,1.5
1628553600,108046,28,20.9,23.4
1647216000,108046,49,1.3,1.3
1652054400,108046,39,0.2,0.3
1638576000,108046,67,17.2,20.5
1642464000,108046,59,11.4,11.9
1624406400,108046,30,10.3,11.7
1646092800,108046,59,4.2,4.4
1634428800,108046,31,3.8,4.2
1647388800,108046,53,2.7,2.8
1627689600,108046,19,64.2,68.2
1641686400,108046,53,5.7,5.8
1642896000,108046,60,7.4,7.9
1637971200,108046,56,4.5,4.6
1650499200,108046,55,1.4,1.5
1640736000,108046,56,5.9,6.2
1631404800,108046,47,24.7,26.8
1630022400,108046,40,9.4,10.7
1626998400,108046,20,20.4,22.3
1624320000,108046,31,7.2,8.7
1633046400,108046,45,1.4,1.7
1640822400,108046,55,12.3,12.2
1646438400,108046,61,3.3,3.6
1644624000,108046,47,8.8,9.0
1638489600,108046,63,13.8,15.8
1623888000,108046,36,0.9,1.4
1660694400,108046,25,13.3,15.7
1666224000,108046,42,22.2,25.5
1666742400,108046,58,4.2,4.8
1661040000,108046,35,18.5,22.1
1649721600,108046,60,0.3,0.4
1647043200,108046,43,1.2,1.2
1632268800,108046,39,9.8,10.7
1629849600,108046,26,31.5,34.3
1627776000,108046,34,39.8,43.0
1629072000,108046,20,50.8,54.0
1635379200,108046,51,4.6,5.2
1641168000,108046,46,0.1,0.1
1629331200,108046,55,23.5,25.7
1627257600,108046,18,32.1,34.0
1633996800,108046,44,5.9,6.1
1665187200,108046,50,25.5,29.3
1644364800,108046,51,5.8,5.9
1642809600,108046,60,8.8,9.3
1635724800,108046,48,11.4,12.8
1667260800,108046,70,4.3,5.2
1649289600,108046,37,1.8,1.9
1629590400,108046,47,28.1,30.3
1633564800,108046,53,2.3,2.6
1632009600,108046,62,2.2,2.5
1627948800,108046,32,65.1,69.0
1665532800,108046,44,25.4,29.5
1631491200,108046,35,10.5,12.5
1638403200,108046,50,1.0,1.4
1635465600,108046,56,1.3,1.8
1663632000,108046,39,23.7,27.2
1649635200,108046,66,1.1,1.1
1662422400,108046,33,34.5,39.0
1661817600,108046,28,12.9,15.1
1634601600,108046,53,18.0,20.2
1659657600,108046,29,6.9,8.3
1664150400,108046,40,11.9,13.8
1635984000,108046,60,7.2,8.2
1623715200,108046,48,0.7,1.0
1639699200,108046,56,2.9,3.3
1627516800,108046,24,35.6,38.1
1651968000,108046,55,0.0,0.0
1659484800,108046,14,2.9,4.3
1637366400,108046,67,3.9,4.3
1650067200,108046,52,4.5,4.8
1625788800,108046,21,33.9,36.9
1643846400,108046,56,2.7,2.6
1646179200,108046,65,5.9,6.3
1626739200,108046,29,41.4,44.3
1639958400,108046,66,6.9,7.6
1636934400,108046,51,1.8,2.2
1629158400,108046,39,20.0,22.2
1628812800,108046,20,169.3,175.6
1642377600,108046,55,5.9,6.1
1659571200,108046,27,5.5,6.9
1630108800,108046,36,17.2,19.2
1627344000,108046,22,28.3,30.5
1628467200,108046,28,21.8,24.4
1625961600,108046,21,42.6,45.3
1662249600,108046,34,58.0,65.3
1627603200,108046,19,43.5,46.3
1624579200,108046,30,3.3,4.4
1640649600,108046,60,9.4,7.2
1651622400,108046,55,4.5,5.2
1666656000,108046,59,1.7,1.8
1636070400,108046,64,2.6,2.8
1645747200,108046,48,10.0,9.3
1635292800,108046,55,0.6,0.7
1635033600,108046,63,2.7,3.3
1634774400,108046,53,3.2,3.5
1633305600,108046,38,9.4,10.4
1645056000,108046,52,1.0,1.0
1637280000,108046,64,3.5,3.6
1664755200,108046,50,10.8,12.8
1652745600,108046,39,0.3,0.5
1633910400,108046,52,0.5,0.7
1626307200,108046,24,47.0,50.2
1646265600,108046,69,5.5,5.9
1643932800,108046,54,1.7,1.7
1661126400,108046,36,6.9,8.6
1662595200,108046,19,11.1,13.4
1643760000,108046,53,4.7,4.7
1641859200,108046,52,3.1,3.2
1630454400,108046,32,11.2,12.6
1637452800,108046,63,9.0,9.8
1630713600,108046,23,17.1,18.3
1648857600,108046,51,1.9,2.0
1638835200,108046,68,10.2,12.1
1627084800,108046,18,26.4,28.5
1667088000,108046,50,9.9,11.2
1645574400,108046,44,5.1,4.1
1645920000,108046,45,3.5,3.6
1646697600,108046,59,4.9,5.2
1663372800,108046,44,9.5,10.7
1652572800,108046,56,2.4,2.6
1652140800,108046,47,2.2,2.3
1637625600,108046,62,14.0,15.2
1651449600,108046,55,2.3,2.5
1632355200,108046,40,8.7,9.9
1635206400,108046,61,3.8,4.1
1623801600,108046,54,2.2,2.8
1628380800,108046,36,8.8,10.7
1639180800,108046,53,0.6,0.6
1659744000,108046,25,4.8,6.2
1649462400,108046,44,1.3,1.4
1665014400,108046,46,16.1,18.6
1663977600,108046,48,14.2,16.4
1662940800,108046,30,214.4,228.1
1636848000,108046,59,3.9,4.5
1664582400,108046,56,6.8,8.2
1628985600,108046,23,118.9,124.1
1652659200,108046,38,0.1,0.3
1664928000,108046,44,12.8,14.8
1637020800,108046,49,1.1,1.2
1666569600,108046,63,7.7,8.7
1652400000,108046,47,0.4,0.5
1632614400,108046,32,8.7,9.8
1626220800,108046,21,46.4,48.9
1662076800,108046,26,40.9,45.8
1625443200,108046,17,3.1,3.8
1639008000,108046,55,1.2,1.3
1644278400,108046,54,8.1,8.4
1637798400,108046,53,3.0,3.3
1635552000,108046,66,4.0,4.1
1632528000,108046,29,6.5,7.3
1632096000,108046,51,0.9,1.3
1665619200,108046,44,25.7,29.3
1641427200,108046,62,3.3,3.3
1660176000,108046,40,11.5,13.5
1630627200,108046,22,4.0,4.8
1625097600,108046,22,5.7,7.0
1660435200,108046,32,3.3,4.2
1650412800,108046,40,0.5,0.5
1663545600,108046,45,19.0,22.0
1624838400,108046,23,4.1,5.6
1647561600,108046,50,1.4,1.5
1663113600,108046,51,87.0,94.5
1641081600,108046,48,2.2,2.0
1638144000,108046,62,2.4,2.6
1660262400,108046,36,19.1,22.5
1638662400,108046,65,3.9,4.7
1627862400,108046,51,38.2,40.9
1651017600,108046,51,0.6,0.9
1661472000,108046,34,15.5,18.0
1663286400,108046,51,33.9,37.2
1645401600,108046,60,3.7,3.9
1644883200,108046,66,8.8,10.0
1642636800,108046,63,6.6,7.2
1646870400,108046,41,4.7,2.3
1661558400,108046,21,7.6,9.5
1632182400,108046,47,4.9,5.3
1650931200,108046,60,2.3,2.6
1626825600,108046,34,16.6,18.5
1644796800,108046,52,5.2,5.6
1629504000,108046,61,27.6,30.1
1636675200,108046,69,4.8,5.2
1628899200,108046,21,127.0,133.0
1634342400,108046,36,2.9,3.1
1662336000,108046,30,14.8,16.8
1648080000,108046,52,2.3,2.7
1625616000,108046,22,6.1,7.6
1637193600,108046,56,5.4,5.8
1636156800,108046,70,2.3,2.5
1635638400,108046,65,26.4,29.9
1634256000,108046,53,2.5,2.6
1626134400,108046,20,55.5,59.7
1648339200,108046,43,3.4,3.8
1649894400,108046,57,0.8,0.9
1641254400,108046,59,3.3,3.3
1666483200,108046,65,5.7,6.5
1642204800,108046,62,6.3,6.9
1652227200,108046,48,4.1,4.4
1634688000,108046,45,12.0,13.4
1632787200,108046,62,0.3,0.4
1630800000,108046,20,60.6,63.2
1633132800,108046,49,3.5,4.0
1664841600,108046,48,14.5,17.0
1644451200,108046,58,9.4,9.8
1637884800,108046,44,1.6,1.6
1651190400,108046,58,4.2,4.6
1624924800,108046,27,10.0,11.4
1633651200,108046,53,4.2,4.6
1663027200,108046,37,143.1,153.1
1633824000,108046,49,4.8,5.3
1623628800,108046,27,0.3,0.7
1650758400,108046,50,2.1,2.3
1631059200,108046,26,39.3,41.2
1660521600,108046,27,1.8,2.6
1632700800,108046,32,9.7,10.8
1643328000,108046,52,5.8,5.9
1642550400,108046,63,17.7,18.9
1651536000,108046,70,1.6,1.8
