time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1679097600,59949,47,6.8,10.2
1714608000,59949,42,4.3,6.0
1673568000,59949,62,8.4,13.9
1714780800,59949,35,2.2,3.6
1696118400,59949,52,10.1,14.5
1680998400,59949,46,6.5,9.0
1694822400,59949,36,5.0,7.1
1712534400,59949,52,2.2,3.7
1681776000,59949,40,4.1,5.4
1685836800,59949,51,3.7,5.6
1723593600,59949,48,5.3,7.1
1711497600,59949,52,2.1,3.5
1677456000,59949,60,2.0,3.0
1693440000,59949,30,9.7,13.5
1685923200,59949,45,4.0,5.6
1723420800,59949,26,14.1,17.6
1714867200,59949,49,2.1,3.3
1705536000,59949,64,2.1,3.9
1699660800,59949,48,5.7,8.9
1708905600,59949,51,1.5,2.6
1693180800,59949,41,2.9,4.5
1724457600,59949,25,6.1,8.1
1715644800,59949,58,6.1,9.0
1697500800,59949,39,3.0,4.7
1731974400,59949,55,0.9,1.8
1714176000,59949,64,3.5,5.2
1713830400,59949,25,2.5,3.8
1682380800,59949,44,2.0,2.9
1693699200,59949,51,5.7,7.8
1715558400,59949,36,10.9,15.5
1674604800,59949,60,14.1,21.7
1715990400,59949,29,2.9,4.6
1693958400,59949,50,4.8,7.0
1718409600,59949,34,3.2,5.1
1693785600,59949,71,4.7,6.9
1714348800,59949,40,2.0,3.2
1734825600,59949,57,9.4,13.3
1695686400,59949,37,3.9,5.9
1716336000,59949,35,2.1,3.4
1734393600,59949,70,6.7,8.5
1707264000,59949,68,10.5,16.6
1732147200,59949,50,5.5,8.2
1686268800,59949,44,2.9,4.2
1721865600,59949,34,15.8,19.8
1675987200,59949,53,5.4,8.6
1703289600,59949,64,9.0,13.0
1734566400,59949,60,7.3,9.1
1686700800,59949,54,5.1,7.2
1705968000,59949,65,21.0,29.2
1697155200,59949,59,4.2,6.5
1711411200,59949,54,3.4,5.4
1672704000,59949,57,5.9,9.3
1697068800,59949,63,3.1,4.9
1676505600,59949,49,12.9,20.1
1677283200,59949,53,13.1,19.4
1695081600,59949,33,8.4,11.9
1698278400,59949,65,2.6,4.4
1722643200,59949,26,27.6,33.3
1683849600,59949,37,3.0,4.4
1718064000,59949,31,5.0,7.5
1707091200,59949,58,1.8,3.1
1721347200,59949,29,9.8,12.9
1716595200,59949,40,1.7,2.8
1715126400,59949,50,1.0,1.7
1733443200,59949,56,23.9,32.4
1674259200,59949,56,5.3,8.6
1722988800,59949,25,33.1,40.3
1709769600,59949,60,5.0,8.2
1685232000,59949,42,6.8,9.1
1674691200,59949,61,19.6,27.7
1703635200,59949,59,5.5,9.7
1694390400,59949,36,5.4,7.9
1696204800,59949,65,6.3,9.5
1709596800,59949,54,0.7,1.4
1685664000,59949,44,4.6,6.4
1685318400,59949,40,5.5,7.5
1704499200,59949,56,2.2,3.9
1698796800,59949,45,10.3,15.4
1694908800,59949,33,4.5,6.5
1686441600,59949,42,5.6,7.7
1686960000,59949,32,18.7,24.3
1679961600,59949,41,4.4,6.5
1711929600,59949,64,5.7,9.0
1713571200,59949,31,3.5,5.6
1691193600,59949,48,11.3,16.2
