time_stamp,sensor_index,humidity,pm2.5_atm_a,pm2.5_atm_b
1762560000,289976,61,9.9,9.8
1773964800,289976,51,2.9,2.7
1763337600,289976,72,13.6,13.2
1762214400,289976,68,22.8,22.7
1760832000,289976,67,11.1,11.0
1759622400,289976,56,1.5,1.3
1761955200,289976,68,36.6,36.7
1763164800,289976,70,4.3,3.9
1763942400,289976,66,6.4,6.3
1761264000,289976,60,26.7,26.3
1773273600,289976,65,0.8,1.0
1760659200,289976,46,6.0,5.6
1761782400,289976,65,18.3,18.5
1760140800,289976,57,3.3,3.1
1759017600,289976,31,80.6,81.4
1760486400,289976,57,8.8,8.7
1764028800,289976,60,11.7,11.8
1774224000,289976,47,5.7,5.5
1763078400,289976,70,7.5,7.0
1759449600,289976,55,3.1,2.8
1761609600,289976,63,5.4,5.3
1774396800,289976,65,0.7,0.6
1774569600,289976,45,5.6,5.5
1763596800,289976,63,18.6,18.4
1760227200,289976,72,3.9,3.7
1760918400,289976,64,0.8,0.7
1762387200,289976,66,3.7,3.5
1759363200,289976,63,2.0,1.8
1762992000,289976,69,25.2,25.1
1773878400,289976,37,1.3,1.2
1762819200,289976,66,25.4,25.3
1763424000,289976,67,7.9,7.6
1773100800,289976,53,0.7,0.7
1761696000,289976,63,14.8,14.8
1762300800,289976,69,25.4,25.5
1774915200,289976,38,4.7,4.6
1760745600,289976,49,6.9,6.6
1762732800,289976,65,34.2,34.6
1760054400,289976,44,6.2,5.8
1761350400,289976,55,6.1,5.9
1761523200,289976,66,1.4,1.3
1761436800,289976,60,0.4,0.4
1764374400,289976,65,22.1,22.2
1764288000,289976,67,6.4,5.9
1774051200,289976,55,1.8,1.6
1763769600,289976,64,19.3,19.4
1762473600,289976,63,5.4,5.1
1763510400,289976,60,5.6,5.5
1774828800,289976,49,1.4,1.3
1762905600,289976,67,32.5,32.7
1759190400,289976,51,17.7,17.6
1762041600,289976,57,1.0,0.9
1763683200,289976,68,30.5,30.8
1764115200,289976,68,20.8,20.9
1761004800,289976,56,7.3,7.1
1759968000,289976,42,6.0,5.6
1759881600,289976,48,4.6,4.3
1774310400,289976,55,5.5,5.3
1760572800,289976,58,11.3,11.1
1774742400,289976,47,3.6,3.4
1760313600,289976,64,0.7,0.6
1761868800,289976,63,51.5,52.8
1761091200,289976,58,23.9,23.8
1759104000,289976,44,34.1,34.1
1774483200,289976,44,0.2,0.1
1763856000,289976,65,10.7,10.4
1760400000,289976,51,2.1,1.9
1759536000,289976,49,9.3,9.1
1763251200,289976,67,12.0,11.6
1774137600,289976,44,1.4,1.2
1773792000,289976,57,1.7,1.6
1773619200,289976,61,6.1,6.0
1764201600,289976,69,19.6,19.8
1759276800,289976,58,2.3,2.1
1774656000,289976,47,6.7,6.5
1773532800,289976,54,5.1,5.3
1773705600,289976,53,6.1,6.0
1773360000,289976,80,4.2,3.8
1773014400,289976,39,0.3,0.2
1773446400,289976,66,6.9,6.8
1773187200,289976,59,1.2,1.0
1762128000,289976,58,15.4,15.4
1759795200,289976,49,1.7,1.6
1762646400,289976,62,25.1,25.2
1759708800,289976,49,0.8,0.6
1761177600,289976,59,12.9,12.5
