date,wind_from_deg,wind_speed_kmh
2021-01-01,125.76834539345651,9.409375
2021-01-02,180.48538328022084,12.385416666666668
2021-01-03,190.44677290485103,15.477083333333333
2021-01-04,144.1887047843826,13.560416666666667
2021-01-05,211.41339235122825,13.233333333333334
2021-01-06,121.07752616394663,11.385416666666668
2021-01-07,201.13907600231448,7.713541666666666
2021-01-08,97.7530169157983,8.819791666666667
2021-01-09,293.9438864613278,6.714583333333334
2021-01-10,107.61350058630262,7.385416666666667
2021-01-11,115.36121728287873,8.507291666666667
2021-01-12,124.82178420250642,13.195833333333333
2021-01-13,218.95495733982304,19.1875
2021-01-14,224.52508924779838,8.826041666666667
2021-01-15,147.07842476690973,6.14375
2021-01-16,235.91957556949163,6.557291666666666
2021-01-17,253.9398324676267,9.304166666666667
2021-01-18,264.8616377077374,9.333333333333334
2021-01-19,108.72936696383812,6.634375
2021-01-20,144.14300289783387,6.205208333333333
2021-01-21,85.20343081739168,4.320833333333333
2021-01-22,30.128017788511954,6.561458333333333
2021-01-23,302.9113637377243,9.3875
2021-01-24,130.04440584797544,9.2875
2021-01-25,64.41784676412436,7.379166666666666
2021-01-26,154.735492013388,7.441666666666666
2021-01-27,123.92267874436311,16.365625
2021-01-28,104.08930035532177,10.290624999999999
2021-01-29,226.03154704648173,7.711458333333333
2021-01-30,200.23124981705675,13.6375
2021-01-31,116.7978201051369,11.828125
2021-02-01,116.63970239553407,12.511458333333334
2021-02-02,152.93383123801914,14.43125
2021-02-03,230.65789570073733,12.485416666666666
2021-02-04,249.70243928279203,14.282291666666666
2021-02-05,264.4983340052231,18.102083333333333
2021-02-06,248.49637792477085,16.957291666666666
2021-02-07,264.5394989019235,16.964583333333334
2021-02-08,256.90832614626765,12.023958333333333
2021-02-09,238.62699664641605,7.94375
2021-02-10,221.83062178792156,11.128124999999999
2021-02-11,234.59243620122484,11.24375
2021-02-12,338.41010118096693,11.208333333333332
2021-02-13,345.8949489620964,11.195833333333333
2021-02-14,147.51563405749215,8.872916666666667
2021-02-15,172.91470251598673,10.644791666666666
2021-02-16,267.6477875674506,13.570833333333333
2021-02-17,269.82866826366256,13.285416666666666
2021-02-18,177.37243714754743,11.832291666666666
2021-02-19,172.21847729694196,10.854166666666666
2021-02-20,259.78306252403775,12.482291666666669
2021-02-21,227.45107018551818,15.515625
2021-02-22,205.93762981720246,17.426041666666666
2021-02-23,260.53355563406194,17.935416666666665
2021-02-24,273.5536558936621,9.578125
2021-02-25,176.24508810364387,13.684375
2021-02-26,247.42647283474503,17.325000000000003
2021-02-27,258.5810813135356,13.289583333333335
2021-02-28,198.87495832107618,12.830208333333335
2021-03-01,132.63359688742116,10.697916666666666
2021-03-02,143.18494024165875,9.132291666666667
2021-03-03,106.31982333819758,7.4
2021-03-04,165.69253815655225,7.982291666666667
2021-03-05,126.88549084273075,14.310416666666665
2021-03-06,190.57774352149679,15.794791666666667
2021-03-07,156.3736256405914,10.586458333333333
2021-03-08,236.47469338860282,8.084375
2021-03-09,189.4015550299431,9.296875
2021-03-10,160.35907839581523,7.175000000000001
2021-03-11,43.21786016178845,8.39375
2021-03-12,7.797598378006342,7.046875
2021-03-13,341.38776757810746,7.698958333333334
2021-03-14,186.84000505533697,8.24375
2021-03-15,212.79624644417723,8.95625
2021-03-16,312.575001281901,11.046875
2021-03-17,158.3949854383568,8.007291666666667
2021-03-18,145.8131160776087,12.138541666666667
2021-03-19,183.01369848798876,10.339583333333334
2021-03-20,257.6839809011077,14.273958333333333
2021-03-21,253.0503324260364,13.139583333333333
2021-03-22,241.44014783117396,12.044791666666667
2021-03-23,313.0579201830508,13.158333333333333
2021-03-24,197.52202882931095,11.133333333333335
2021-03-25,263.3361258739743,10.252083333333333
2021-03-26,280.00285578346194,13.169791666666665
2021-03-27,209.4158593693097,10.536458333333332
2021-03-28,190.79553688954476,18.483333333333334
2021-03-29,282.5561020161361,25.25625
2021-03-30,282.4678239248244,12.18125
2021-03-31,157.41268758886804,8.926041666666666
2021-04-01,145.8685141123044,13.743749999999999
2021-04-02,178.23068528565943,10.86875
2021-04-03,154.9137226041031,8.377083333333333
2021-04-04,223.35244006267328,9.554166666666667
2021-04-05,274.39512249645526,16.336458333333333
2021-04-06,261.374676047268,14.317708333333332
2021-04-07,175.0173921760903,11.830208333333333
2021-04-08,266.695404914184,20.09583333333333
2021-04-09,186.9118231308388,9.066666666666666
2021-04-10,266.64366415474615,19.210416666666667
2021-04-11,298.3153824649724,12.8375
2021-04-12,47.89533831406561,9.366666666666667
2021-04-13,46.854998419424476,17.196875000000002
2021-04-14,42.403721606310114,13.289583333333333
2021-04-15,62.45289111608463,8.867708333333333
2021-04-16,72.13217521602877,11.002083333333333
2021-04-17,93.32724735628324,8.4125
2021-04-18,220.6422825269855,11.759375
