Forecast,days_ahead,model,notes,cutoff_date,train_rows,test_rows,mae,rmse,smape,r2,delta_mae
24H,1,baseline,same as current PM2.5,2025-03-13,1526,382,3.401743308089826,5.413231814781379,6.809431487972575,0.8601106399902576,3.401743308089826
24H,1,ridge,plain ridge just for comparison,2025-03-13,1526,382,3.4054461191538863,5.158216884483292,6.920804935353509,0.8729804325374869,3.4054461191538863
24H,1,scaled_ridge,scaled ridge with alpha 10,2025-03-13,1526,382,3.4309456480739873,5.169827649806169,6.9696798748489455,0.8724079656370364,3.4309456480739873
24H,1,delta_ridge,scaled ridge on delta with alpha 100,2025-03-13,1526,382,3.366858448542397,5.174084985277631,6.824908446041541,0.8721977358989802,3.366858448542397
72H,3,baseline,same as current PM2.5,2025-03-13,1526,380,5.985987434636486,8.68797244466887,11.831265024297542,0.6401059234494135,5.985987434636486
72H,3,ridge,plain ridge just for comparison,2025-03-13,1526,380,5.743150138824486,8.256133889304959,11.391025254830515,0.6749940711018756,5.743150138824486
72H,3,scaled_ridge,scaled ridge with alpha 100,2025-03-13,1526,380,5.889770733591132,8.417259257681444,11.603067702983692,0.6621847609006561,5.889770733591132
72H,3,delta_ridge,scaled ridge on delta with alpha 100,2025-03-13,1526,380,5.724404800842187,8.24804334910277,11.376952838069299,0.6756307335402301,5.724404800842187
